dataset,FCN,FCN + PosEnc
50words,0.492307692307692,0.784615384615385
ChlorineConcentration,0.777864583333333,0.794791666666667
Cricket_X,0.68974358974359,0.782051282051282
Cricket_Y,0.730769230769231,0.835897435897436
Cricket_Z,0.684615384615385,0.817948717948718
ElectricDevices,0.794319802879004,0.768382829723771
FordA,0.969452929741738,0.907247986670369
FordB,0.921617161716172,0.917216721672167
NonInvasiveFatalECG_Thorax1,0.520101781170483,0.667684478371501
UWaveGestureLibraryAll,0.82998324958124,0.972361809045226
