dataset,LSTMFCN,LSTMFCN + PosEnc
50words,0.547252747252747,0.712087912087912
ChlorineConcentration,0.781510416666667,0.788802083333333
Cricket_X,0.743589743589744,0.77948717948718
Cricket_Y,0.771794871794872,0.815384615384615
Cricket_Z,0.774358974358974,0.823076923076923
ElectricDevices,0.773440539489042,0.760861107508754
FordA,0.958067203554568,0.911691196889753
FordB,0.918866886688669,0.916666666666667
NonInvasiveFatalECG_Thorax1,0.651399491094148,0.801017811704835
UWaveGestureLibraryAll,0.860134003350084,0.971803461753211
