datasets,Pytorch,Keras,Paper Keras
50words,0.547252747252747,0.8,0.8044
ChlorineConcentration,0.781510416666667,0.789322916666667,0.8099
Cricket_X,0.743589743589744,0.8051,0.8077
Cricket_Y,0.771794871794872,0.8333,0.8179
Cricket_Z,0.774358974358974,0.841,0.8103
ElectricDevices,0.773440539489042,0.7379,0.7681
FordA,0.958067203554568,0.890585948347681,0.9272
FordB,0.918866886688669,0.889475145792835,0.918
NonInvasiveFatalECG_Thorax1,0.651399491094148,0.94198,0.9654
UWaveGestureLibraryAll,0.860134003350084,0.967895030709101,0.9618
