dataset,LSTMFCN,FCN,LSTM
50words,0.758241758241758,0.771428571428572,0.226373626373626
Cricket_X,0.792307692307692,0.787179487179487,0.18974358974359
Cricket_Y,0.846153846153846,0.841025641025641,0.207692307692308
Cricket_Z,0.812820512820513,0.828205128205128,0.176923076923077
ECG200,0.93,0.95,0.85
ElectricDevices,0.751783166904422,0.768123459992219,0.728310206198937
FaceFour,0.977272727272727,0.954545454545455,0.602272727272727
FacesUCR,0.961463414634146,0.966829268292683,0.678536585365854
InsectWingbeatSound,0.634343434343434,0.626262626262626,0.425757575757576
NonInvasiveFatalECG_Thorax1,0.728753180661578,0.658015267175573,0.28498727735369
UWaveGestureLibraryAll,0.972920156337242,0.970128419877164,0.537688442211055
WordsSynonyms,0.579937304075235,0.598746081504702,0.222570532915361
