dataset,LSTMFCN,FCN
50words,0.356043956043956,0.382417582417582
Cricket_X,0.692307692307692,0.623076923076923
Cricket_Y,0.641025641025641,0.67948717948718
Cricket_Z,0.71025641025641,0.68974358974359
ECG200,0.89,0.91
ElectricDevices,0.776682661133446,0.776682661133446
FaceFour,0.829545454545455,0.897727272727273
FacesUCR,0.878536585365854,0.888292682926829
InsectWingbeatSound,0.51969696969697,0.373737373737374
NonInvasiveFatalECG_Thorax1,0.613740458015267,0.543511450381679
UWaveGestureLibraryAll,0.842546063651591,0.808486878838638
WordsSynonyms,0.448275862068966,0.376175548589342
