dataset,LSTMFCN simplified,LSTMFCN simpliefied + PosEnc,LSTMFCN Original,Inceptionime
50words,0.4242,0.7582,0.8044,0.8417
CinC_ECG_torso,0.7167,0.8804,0.8862,0.8514
Cricket_X,0.7718,0.8051,0.8077,0.8666
Cricket_Y,0.7513,0.8333,0.8179,0.8512
Cricket_Z,0.8128,0.8410,0.8103,0.8589
DiatomSizeReduction,0.9183,0.9673,0.9673,0.959
ECG200,0.9000,0.9200,0.9,0.93
ECGFiveDays,0.8966,0.9396,0.9919,1
FaceFour,0.7841,0.8636,0.9402,0.9659
FacesUCR,0.8663,0.8815,0.9293,0.9746
InsectWingbeatSound,0.5035,0.6273,0.6616,0.6308
Meat,0.6833,0.9000,0.9167,0.9333
MoteStrain,0.7684,0.8762,0.9393,0.8937
OliveOil,0.4000,0.8667,0.8667,0.8667
SonyAIBORobotSurface,0.7304,0.8436,0.9817,0.8702
Symbols,0.9005,0.9286,0.9839,0.9829
UWaveGestureLibraryAll,0.8490,0.9651,0.9618,0.9481
uWaveGestureLibrary_X,0.7929,0.8353,0.849,0.8224
uWaveGestureLibrary_Y,0.7063,0.7434,0.7672,0.7694
uWaveGestureLibrary_Z,0.7063,0.7434,0.7973,0.7702
WordsSynonyms,0.5972,0.6630,0.6708,0.7586
